grid,laps,circuit_type,length,turns,direction,drs_zones,overtake_rating,pit_stops,laps_led,is_verstappen,driver_rank,constructor_rank,position
3,57,3,5.412,15,1,2,3,4,1,0,3,2,2
1,87,3,5.412,15,1,2,3,2,4,0,2,1,8
2,87,3,5.412,15,1,2,3,4,59,0,18,1,9
13,87,3,5.412,15,1,2,3,3,0,0,13,6,12
19,87,3,5.412,15,1,2,3,2,0,0,9,4,10
8,87,3,5.412,15,1,2,3,2,0,0,7,4,4
5,87,3,5.412,15,1,2,3,2,24,0,4,3,1
10,87,3,5.412,15,1,2,3,1,0,0,10,3,3
9,87,3,5.412,15,1,2,3,2,0,0,11,7,11
6,87,3,5.412,15,1,2,3,2,0,0,14,7,7
7,87,3,5.412,15,1,2,3,2,0,0,5,5,5
11,87,3,5.412,15,1,2,3,1,0,0,12,5,2
14,87,3,5.412,15,1,2,3,2,0,0,17,8,13
18,87,3,5.412,15,1,2,3,3,0,0,16,8,14
17,87,3,5.412,15,1,2,3,3,0,0,22,10,16
12,87,3,5.412,15,1,2,3,2,0,0,8,2,6
20,87,3,5.412,15,1,2,3,3,0,0,23,9,17
15,87,3,5.412,15,1,2,3,2,0,0,20,9,15
3,55,2,5.554,21,0,2,3,1,0,1,1,1,3
2,55,2,5.554,21,0,2,3,1,0,0,2,1,2
6,55,2,5.554,21,0,2,3,1,0,0,6,3,6
4,55,2,5.554,21,0,2,3,1,0,0,9,3,5
8,55,2,5.554,21,0,2,3,1,0,0,11,4,10
9,55,2,5.554,21,0,2,3,1,0,0,10,7,8
11,55,2,5.554,21,0,2,3,1,0,0,5,5,7
10,55,2,5.554,21,0,2,3,1,0,0,12,5,9
1,55,2,5.554,21,0,2,3,1,55,0,3,2,1
5,55,2,5.554,21,0,2,3,1,0,0,7,2,4
9,57,3,5.38,16,1,2,2,1,0,0,11,5,5
3,57,3,5.38,16,1,2,2,1,0,0,10,5,3
12,57,3,5.38,16,1,2,2,1,0,0,13,7,6
5,57,3,5.38,16,1,2,2,1,0,0,7,3,7
13,57,3,5.38,16,1,2,2,1,0,0,6,3,8
11,57,3,5.38,16,1,2,2,2,0,0,4,2,4
7,57,3,5.38,16,1,2,2,3,0,1,1,2,2
1,57,3,5.38,16,1,2,2,2,57,0,2,1,1
2,56,3,5.412,15,1,2,3,2,27,0,1,1,1
3,56,3,5.412,15,1,2,3,3,0,0,3,1,3
1,56,3,5.412,15,1,2,3,2,29,1,2,2,2
0,56,3,5.412,15,1,2,3,3,0,0,5,2,5
7,56,3,5.412,15,1,2,3,2,0,0,4,3,4
6,56,3,5.412,15,1,2,3,2,0,0,7,3,7
4,56,3,5.412,15,1,2,3,2,0,0,6,4,6
8,56,3,5.412,15,1,2,3,2,0,0,8,4,8
13,56,3,5.412,15,1,2,3,2,0,0,9,5,9
10,56,3,5.412,15,1,2,3,2,0,0,10,6,10
14,56,3,5.412,15,1,2,3,2,0,0,11,7,11
16,63,2,4.909,19,0,2,3,3,0,0,14,8,13
3,63,2,4.909,19,0,2,3,2,61,1,2,2,1
2,63,2,4.909,19,0,2,3,2,0,0,8,2,11
6,63,2,4.909,19,0,2,3,2,0,0,7,3,6
7,63,2,4.909,19,0,2,3,2,0,0,3,3,3
15,63,2,4.909,19,0,2,3,3,0,0,13,7,10
9,63,2,4.909,19,0,2,3,5,0,0,12,7,9
10,63,2,4.909,19,0,2,3,3,0,0,10,6,8
5,63,2,4.909,19,0,2,3,4,0,0,9,5,7
20,63,2,4.909,19,0,2,3,3,0,0,11,5,12
11,63,2,4.909,19,0,2,3,2,0,0,6,4,5
4,63,2,4.909,19,0,2,3,2,0,0,4,4,4
1,63,2,4.909,19,0,2,3,4,2,0,1,1,2
2,66,0,4.692,15,1,2,3,3,34,0,1,1,1
1,66,0,4.692,15,1,2,3,4,19,0,4,1,3
3,66,0,4.692,15,1,2,3,4,0,1,2,2,2
4,66,0,4.692,15,1,2,3,3,13,0,6,2,4
7,66,0,4.692,15,1,2,3,3,0,0,3,3,5
16,66,0,4.692,15,1,2,3,3,0,0,7,3,9
8,66,0,4.692,15,1,2,3,3,0,0,5,4,6
5,66,0,4.692,15,1,2,3,3,0,0,8,4,11
9,66,0,4.692,15,1,2,3,3,0,0,10,6,10
6,66,0,4.692,15,1,2,3,3,0,0,9,5,7
13,66,0,4.692,15,1,2,3,3,0,0,12,5,8
1,66,0,4.675,16,1,2,3,2,12,0,1,1,1
3,66,0,4.675,16,1,2,3,2,0,0,3,1,3
2,66,0,4.675,16,1,2,3,2,54,1,2,2,2
8,66,0,4.675,16,1,2,3,2,0,0,6,2,5
7,66,0,4.675,16,1,2,3,2,0,0,7,3,6
4,66,0,4.675,16,1,2,3,2,0,0,5,4,4
6,66,0,4.675,16,1,2,3,2,0,0,8,4,7
7,78,4,3.337,19,1,1,1,2,0,0,2,2,7
2,78,4,3.337,19,1,1,1,1,78,1,1,1,1
9,78,4,3.337,19,1,1,1,1,0,0,5,1,4
5,78,4,3.337,19,1,1,1,1,0,0,3,3,3
4,78,4,3.337,19,1,1,1,1,0,0,7,4,2
6,78,4,3.337,19,1,1,1,1,0,0,9,6,6
8,78,4,3.337,19,1,1,1,1,0,0,11,5,5
2,51,2,6.003,20,0,2,4,3,9,0,2,2,15
10,51,2,6.003,20,0,2,4,3,0,0,6,2,12
6,51,2,6.003,20,0,2,4,3,8,0,3,1,1
9,51,2,6.003,20,0,2,4,3,0,0,4,4,5
13,51,2,6.003,20,0,2,4,3,0,0,10,4,9
1,51,2,6.003,20,0,2,4,3,1,0,5,3,4
5,51,2,6.003,20,0,2,4,3,0,0,7,3,8
7,51,2,6.003,20,0,2,4,3,0,0,14,5,7
4,51,2,6.003,20,0,2,4,3,0,0,8,5,3
11,51,2,6.003,20,0,2,4,3,4,0,9,6,2
14,51,2,6.003,20,0,2,4,3,0,0,15,8,10
20,51,2,6.003,20,0,2,4,4,0,0,16,8,11
8,51,2,6.003,20,0,2,4,4,0,0,11,7,6
16,51,2,6.003,20,0,2,4,2,0,0,20,10,16
17,51,2,6.003,20,0,2,4,5,0,0,17,9,13
18,51,2,6.003,20,0,2,4,6,0,0,19,9,14
2,53,3,5.842,15,1,2,4,1,38,0,2,2,2
3,53,3,5.842,15,1,2,4,1,0,0,5,2,4
1,53,3,5.842,15,1,2,4,2,10,1,1,1,1
4,53,3,5.842,15,1,2,4,1,5,0,3,1,3
8,53,3,5.842,15,1,2,4,1,0,0,4,3,5
10,53,3,5.842,15,1,2,4,1,0,0,9,3,6
5,53,3,5.842,15,1,2,4,1,0,0,7,4,11
6,53,3,5.842,15,1,2,4,1,0,0,8,5,7
19,53,3,5.842,15,1,2,4,1,0,0,13,6,10
12,53,3,5.842,15,1,2,4,1,0,0,10,6,9
9,53,3,5.842,15,1,2,4,1,0,0,11,7,8
2,71,0,4.318,10,1,2,4,2,0,0,2,2,2
5,71,0,4.318,10,1,2,4,1,0,0,5,2,3
1,71,0,4.318,10,1,2,4,1,71,1,1,1,1
4,71,0,4.318,10,1,2,4,2,0,0,3,1,4
6,71,0,4.318,10,1,2,4,2,0,0,9,5,9
10,71,0,4.318,10,1,2,4,1,0,0,7,4,5
12,71,0,4.318,10,1,2,4,1,0,0,6,4,8
2,71,0,4.318,10,1,2,4,1,0,0,4,3,3
13,71,0,4.318,10,1,2,4,1,0,0,8,3,7
3,71,0,4.318,10,1,2,4,1,0,0,3,1,6
1,71,0,4.318,10,1,2,4,2,71,1,1,1,1
5,71,0,4.318,10,1,2,4,1,0,0,5,2,2
4,71,0,4.318,10,1,2,4,2,0,0,2,2,4
2,52,3,5.891,18,1,2,4,2,3,0,2,2,1
3,52,3,5.891,18,1,2,4,2,0,0,4,2,3
5,52,3,5.891,18,1,2,4,2,0,0,3,3,4
6,52,3,5.891,18,1,2,4,2,0,0,8,3,5
4,52,3,5.891,18,1,2,4,2,49,0,6,4,2
10,52,3,5.891,18,1,2,4,2,0,0,7,4,6
16,52,3,5.891,18,1,2,4,2,0,0,14,5,10
11,52,3,5.891,18,1,2,4,3,0,0,9,5,11
14,52,3,5.891,18,1,2,4,2,0,0,12,6,8
7,52,3,5.891,18,1,2,4,2,0,0,11,7,7
9,52,3,5.891,18,1,2,4,2,0,0,13,7,9
8,70,0,4.381,14,1,2,2,3,65,0,10,5,1
9,70,0,4.381,14,1,2,2,3,2,0,11,5,4
5,70,0,4.381,14,1,2,2,4,0,0,8,6,5
16,70,0,4.381,14,1,2,2,3,0,0,13,6,6
18,70,0,4.381,14,1,2,2,3,0,0,15,8,7
17,70,0,4.381,14,1,2,2,3,0,0,16,8,8
15,70,0,4.381,14,1,2,2,3,0,0,6,3,3
3,70,0,4.381,14,1,2,2,5,0,1,2,2,9
1,70,0,4.381,14,1,2,2,4,3,0,1,1,2
2,72,0,4.259,14,1,2,3,3,0,0,2,1,2
3,72,0,4.259,14,1,2,3,2,8,0,3,1,3
1,72,0,4.259,14,1,2,3,2,64,1,1,2,1
19,53,3,5.793,11,1,2,4,1,0,0,3,1,3
8,53,3,5.793,11,1,2,4,1,0,0,5,2,5
3,53,3,5.793,11,1,2,4,1,1,0,4,3,2
2,53,3,5.793,11,1,2,4,1,48,0,8,3,1
5,53,3,5.793,11,1,2,4,1,1,0,6,4,4
6,53,3,5.793,11,1,2,4,1,0,0,7,4,6
9,53,3,5.793,11,1,2,4,1,0,0,13,7,7
11,53,3,5.793,11,1,2,4,2,0,0,12,7,12
7,53,3,5.793,11,1,2,4,2,0,0,18,9,13
17,53,3,5.793,11,1,2,4,1,0,0,20,9,14
10,53,3,5.793,11,1,2,4,1,0,0,10,5,8
12,53,3,5.793,11,1,2,4,1,0,0,11,5,10
13,53,3,5.793,11,1,2,4,1,0,0,16,8,11
14,53,3,5.793,11,1,2,4,1,0,0,15,8,9
18,53,3,5.793,11,1,2,4,1,0,0,19,10,15
4,53,3,5.848,18,1,2,2,2,3,0,1,1,1
16,53,3,5.848,18,1,2,2,2,0,0,3,1,5
20,53,3,5.848,18,1,2,2,2,0,1,2,2,2
8,53,3,5.848,18,1,2,2,2,8,0,5,2,9
1,53,3,5.848,18,1,2,2,2,30,0,4,3,7
5,53,3,5.848,18,1,2,2,2,0,0,8,3,4
2,53,3,5.848,18,1,2,2,2,12,0,6,4,3
7,53,3,5.848,18,1,2,2,2,0,0,13,7,11
13,53,3,5.848,18,1,2,2,2,0,0,17,9,8
6,53,3,5.848,18,1,2,2,2,0,0,10,5,6
3,53,3,5.848,18,1,2,2,2,0,0,15,8,10
11,58,2,5.338,14,0,2,4,1,0,0,2,1,5
1,58,2,5.338,14,0,2,4,1,49,0,3,1,1
2,58,2,5.338,14,0,2,4,1,0,1,1,2,2
6,58,2,5.338,14,0,2,4,1,0,0,5,2,3
7,58,2,5.338,14,0,2,4,1,0,0,4,3,7
19,58,2,5.338,14,0,2,4,1,0,0,6,4,8
3,58,2,5.338,14,0,2,4,1,9,0,7,4,4
4,58,2,5.338,14,0,2,4,1,0,0,9,6,6
8,58,2,5.338,14,0,2,4,1,0,0,13,7,9
2,56,2,5.513,20,0,2,3,2,21,0,2,1,2
9,56,2,5.513,20,0,2,3,2,0,0,3,1,6
1,56,2,5.513,20,0,2,3,2,35,1,1,2,1
3,56,2,5.513,20,0,2,3,2,0,0,4,2,3
7,56,2,5.513,20,0,2,3,2,0,0,5,3,8
6,56,2,5.513,20,0,2,3,2,0,0,8,3,5
4,56,2,5.513,20,0,2,3,2,0,0,6,4,4
5,56,2,5.513,20,0,2,3,2,0,0,7,4,7
2,71,0,4.304,17,1,2,3,1,0,0,2,1,2
3,71,0,4.304,17,1,2,3,1,65,1,1,2,1
4,71,0,4.304,17,1,2,3,1,6,0,4,2,3
8,71,0,4.304,17,1,2,3,1,0,0,6,3,5
5,71,0,4.304,17,1,2,3,1,0,0,9,6,4
10,71,0,4.309,15,0,2,4,4,17,0,2,1,1
1,71,0,4.309,15,0,2,4,4,3,0,3,1,3
4,71,0,4.309,15,0,2,4,5,0,0,4,2,4
2,71,0,4.309,15,0,2,4,4,51,1,1,2,2
6,71,0,4.309,15,0,2,4,4,0,0,6,3,5
3,71,0,4.309,15,0,2,4,4,0,0,7,3,6
1,50,1,6.174,27,1,3,3,3,18,0,2,1,1
2,50,1,6.174,27,1,3,3,3,0,0,3,1,3
3,50,1,6.174,27,1,3,3,2,31,1,1,2,2
7,50,1,6.174,27,1,3,3,3,0,0,6,4,10
11,50,1,6.174,27,1,3,3,2,0,0,8,4,5
4,50,1,6.174,27,1,3,3,3,0,0,5,3,7
15,50,1,6.174,27,1,3,3,2,0,0,7,3,8
6,50,1,6.174,27,1,3,3,2,0,0,9,6,6
18,50,1,6.174,27,1,3,3,3,0,0,13,7,11
10,50,1,6.174,27,1,3,3,2,0,0,18,9,9
9,50,1,6.174,27,1,3,3,2,1,0,11,5,4
16,50,1,6.174,27,1,3,3,3,0,0,17,8,12
2,58,2,5.554,21,0,2,3,1,51,0,2,1,2
6,58,2,5.554,21,0,2,3,1,0,0,3,1,6
1,58,2,5.554,21,0,2,3,3,1,1,1,2,1
3,58,2,5.554,21,0,2,3,2,0,0,6,4,7
7,58,2,5.554,21,0,2,3,2,0,0,7,3,10
5,58,2,5.554,21,0,2,3,1,0,0,5,3,3
8,58,2,5.554,21,0,2,3,2,0,0,14,6,4
12,58,2,5.554,21,0,2,3,2,0,0,9,6,5
15,58,2,5.554,21,0,2,3,1,0,0,12,7,11
9,58,2,5.554,21,0,2,3,1,0,0,11,5,9
11,58,2,5.554,21,0,2,3,1,0,0,10,5,8
13,57,3,5.412,15,1,2,3,3,0,0,15,9,15
18,57,3,5.412,15,1,2,3,3,0,0,14,9,14
20,57,3,5.412,15,1,2,3,3,0,0,16,8,16
14,57,3,5.412,15,1,2,3,3,0,0,13,8,13
17,57,3,5.412,15,1,2,3,3,0,0,17,7,17
19,57,3,5.412,15,1,2,3,3,0,0,12,7,12
16,57,3,5.412,15,1,2,3,3,0,0,8,6,8
8,57,3,5.412,15,1,2,3,3,0,0,9,5,9
11,57,3,5.412,15,1,2,3,3,0,0,7,5,7
15,57,3,5.412,15,1,2,3,3,0,0,10,4,10
6,57,3,5.412,15,1,2,3,3,0,0,6,4,6
12,57,3,5.412,15,1,2,3,2,0,0,11,3,11
7,57,3,5.412,15,1,2,3,3,0,0,5,3,5
5,57,3,5.412,15,1,2,3,3,0,0,3,2,3
9,57,3,5.412,15,1,2,3,3,0,0,4,2,4
1,57,3,5.412,15,1,2,3,3,55,0,1,1,1
3,57,3,5.412,15,1,2,3,3,2,0,2,1,2
3,50,1,6.174,27,1,3,3,1,0,0,2,1,3
2,50,1,6.174,27,1,3,3,1,30,0,1,1,2
15,50,1,6.174,27,1,3,3,1,0,0,5,2,10
6,50,1,6.174,27,1,3,3,1,0,0,4,2,5
10,50,1,6.174,27,1,3,3,1,0,0,8,5,9
12,50,1,6.174,27,1,3,3,2,0,0,14,6,11
5,50,1,6.174,27,1,3,3,1,0,0,6,4,6
9,50,1,6.174,27,1,3,3,1,0,0,12,7,8
17,50,1,6.174,27,1,3,3,1,0,0,17,9,12
11,50,1,6.174,27,1,3,3,1,0,0,10,8,7
4,50,1,6.174,27,1,3,3,1,6,1,3,3,1
1,50,1,6.174,27,1,3,3,1,14,0,7,3,4
1,58,1,5.303,16,1,2,3,1,58,0,1,1,1
6,58,1,5.303,16,1,2,3,1,0,0,2,2,3
5,58,1,5.303,16,1,2,3,1,0,0,5,2,4
12,58,1,5.303,16,1,2,3,1,0,0,10,6,8
14,58,1,5.303,16,1,2,3,1,0,0,15,6,11
8,58,1,5.303,16,1,2,3,1,0,0,7,5,7
11,58,1,5.303,16,1,2,3,1,0,0,12,8,9
19,58,1,5.303,16,1,2,3,3,0,0,18,10,12
20,58,1,5.303,16,1,2,3,1,0,0,16,9,10
4,58,1,5.303,16,1,2,3,1,0,0,8,4,5
7,58,1,5.303,16,1,2,3,1,0,0,11,4,6
3,58,1,5.303,16,1,2,3,1,0,0,4,3,2
2,63,2,4.909,19,0,2,3,3,0,0,1,1,6
11,63,2,4.909,19,0,2,3,1,0,0,4,3,4
8,63,2,4.909,19,0,2,3,1,0,0,10,8,9
7,63,2,4.909,19,0,2,3,1,0,0,8,5,5
12,63,2,4.909,19,0,2,3,1,0,0,12,7,7
13,63,2,4.909,19,0,2,3,1,0,0,14,9,8
5,63,2,4.909,19,0,2,3,1,0,0,6,4,3
3,63,2,4.909,19,0,2,3,2,0,0,3,2,2
1,63,2,4.909,19,0,2,3,2,63,1,2,2,1
1,57,3,5.412,19,1,2,3,1,8,0,1,1,2
2,57,3,5.412,19,1,2,3,1,1,0,5,1,3
6,57,3,5.412,19,1,2,3,1,0,0,6,3,6
12,57,3,5.412,19,1,2,3,1,0,0,4,3,5
15,57,3,5.412,19,1,2,3,2,0,0,19,8,15
5,57,3,5.412,19,1,2,3,1,0,0,8,5,7
20,57,3,5.412,19,1,2,3,1,0,0,9,6,8
11,57,3,5.412,19,1,2,3,1,0,0,16,6,11
9,57,3,5.412,19,1,2,3,2,0,0,12,7,12
0,57,3,5.412,19,1,2,3,1,0,0,17,9,10
18,57,3,5.412,19,1,2,3,1,0,0,15,10,9
19,57,3,5.412,19,1,2,3,1,0,0,21,10,14
14,57,3,5.412,19,1,2,3,2,0,0,11,4,13
4,57,3,5.412,19,1,2,3,2,0,0,3,2,4
3,57,3,5.412,19,1,2,3,1,48,1,2,2,1
3,66,0,4.675,16,1,2,3,3,0,0,5,2,4
6,66,0,4.675,16,1,2,3,3,0,0,6,3,5
4,66,0,4.675,16,1,2,3,3,4,0,4,3,3
7,66,0,4.675,16,1,2,3,2,0,0,8,5,6
12,66,0,4.675,16,1,2,3,3,0,0,9,6,7
11,66,0,4.675,16,1,2,3,3,0,0,7,4,8
5,66,0,4.675,16,1,2,3,3,11,0,3,1,2
2,66,0,4.675,16,1,2,3,3,25,1,1,1,1
1,64,4,3.337,19,1,1,1,3,17,0,2,2,4
2,64,4,3.337,19,1,1,1,2,3,0,5,2,2
8,64,4,3.337,19,1,1,1,3,0,0,6,3,8
6,64,4,3.337,19,1,1,1,2,0,0,4,3,5
12,64,4,3.337,19,1,1,1,2,0,0,8,5,9
10,64,4,3.337,19,1,1,1,2,0,0,9,6,12
7,64,4,3.337,19,1,1,1,2,0,0,13,6,7
17,64,4,3.337,19,1,1,1,3,0,0,14,7,11
18,64,4,3.337,19,1,1,1,4,0,0,17,9,14
9,64,4,3.337,19,1,1,1,3,0,0,15,9,10
5,64,4,3.337,19,1,1,1,4,0,0,7,4,6
14,64,4,3.337,19,1,1,1,2,0,0,11,4,13
3,64,4,3.337,19,1,1,1,3,44,0,3,1,1
4,64,4,3.337,19,1,1,1,3,0,1,1,1,3
7,51,2,6.003,20,0,2,4,2,0,0,6,3,4
5,51,2,6.003,20,0,2,4,2,0,0,4,3,3
13,51,2,6.003,20,0,2,4,1,0,0,9,5,10
10,51,2,6.003,20,0,2,4,1,0,0,11,5,7
6,51,2,6.003,20,0,2,4,1,0,0,10,7,5
9,51,2,6.003,20,0,2,4,1,0,0,14,9,6
11,51,2,6.003,20,0,2,4,1,0,0,7,4,9
12,51,2,6.003,20,0,2,4,1,0,0,13,4,8
2,51,2,6.003,20,0,2,4,2,14,0,2,1,2
3,51,2,6.003,20,0,2,4,2,36,1,1,1,1
1,70,0,4.361,14,1,2,4,2,53,1,1,1,1
9,70,0,4.361,14,1,2,4,2,0,0,13,4,11
14,70,0,4.361,14,1,2,4,2,0,0,7,4,15
12,70,0,4.361,14,1,2,4,2,0,0,17,10,13
18,70,0,4.361,14,1,2,4,2,0,0,21,10,16
15,70,0,4.361,14,1,2,4,2,0,0,11,7,14
5,70,0,4.361,14,1,2,4,1,0,0,12,9,17
3,70,0,4.361,14,1,2,4,2,17,0,5,2,2
19,70,0,4.361,14,1,2,4,1,0,0,3,2,5
4,70,0,4.361,14,1,2,4,2,0,0,6,3,3
8,70,0,4.361,14,1,2,4,2,0,0,4,3,4
16,70,0,4.361,14,1,2,4,2,0,0,14,8,12
17,70,0,4.361,14,1,2,4,1,0,0,18,8,10
2,70,0,4.361,14,1,2,4,2,0,0,10,5,9
7,70,0,4.361,14,1,2,4,2,0,0,9,5,6
10,70,0,4.361,14,1,2,4,2,0,0,16,6,8
11,70,0,4.361,14,1,2,4,1,0,0,8,6,7
3,52,3,5.891,18,1,2,4,2,13,0,3,2,4
1,52,3,5.891,18,1,2,4,3,27,0,4,2,1
5,52,3,5.891,18,1,2,4,3,8,0,6,3,3
17,52,3,5.891,18,1,2,4,2,0,0,12,8,10
19,52,3,5.891,18,1,2,4,3,0,0,17,8,8
7,52,3,5.891,18,1,2,4,3,0,0,10,5,5
13,52,3,5.891,18,1,2,4,3,0,0,15,7,14
20,52,3,5.891,18,1,2,4,3,0,0,19,9,11
18,52,3,5.891,18,1,2,4,3,0,0,13,9,9
10,52,3,5.891,18,1,2,4,3,0,0,20,10,12
6,52,3,5.891,18,1,2,4,3,0,0,7,4,6
14,52,3,5.891,18,1,2,4,4,0,0,14,4,13
4,52,3,5.891,18,1,2,4,3,0,0,2,1,2
2,52,3,5.891,18,1,2,4,4,4,1,1,1,7
2,71,0,4.318,10,1,2,4,3,51,0,2,2,1
8,71,0,4.318,10,1,2,4,2,0,0,6,3,3
4,71,0,4.318,10,1,2,4,2,0,0,5,3,4
6,71,0,4.318,10,1,2,4,2,0,0,8,5,5
1,71,0,4.318,10,1,2,4,3,18,1,1,1,2
19,53,3,5.842,15,1,2,4,2,0,0,4,2,5
6,53,3,5.842,15,1,2,4,1,0,0,5,3,3
4,53,3,5.842,15,1,2,4,1,1,0,6,3,2
17,53,3,5.842,15,1,2,4,2,0,0,15,7,15
11,53,3,5.842,15,1,2,4,2,0,0,9,6,14
10,53,3,5.842,15,1,2,4,1,0,0,8,4,8
7,53,3,5.842,15,1,2,4,1,0,0,10,4,6
14,53,3,5.842,15,1,2,4,1,0,0,13,8,12
15,53,3,5.842,15,1,2,4,1,0,0,18,9,10
12,53,3,5.842,15,1,2,4,1,0,0,14,9,11
13,53,3,5.842,15,1,2,4,1,0,0,19,10,13
9,53,3,5.842,15,1,2,4,1,0,0,12,5,9
5,53,3,5.842,15,1,2,4,1,0,0,7,5,7
3,53,3,5.842,15,1,2,4,1,0,0,3,1,4
2,53,3,5.842,15,1,2,4,1,35,1,1,1,1
3,70,0,4.381,14,1,2,2,3,14,0,2,2,6
2,70,0,4.381,14,1,2,2,2,8,0,5,2,4
7,70,0,4.381,14,1,2,2,2,4,0,6,3,2
1,70,0,4.381,14,1,2,2,2,24,0,4,3,3
4,70,0,4.381,14,1,2,2,2,0,0,7,5,7
10,70,0,4.381,14,1,2,2,2,20,1,1,1,1
11,70,0,4.381,14,1,2,2,2,0,0,3,1,5
15,44,3,7.004,19,1,2,4,3,0,0,3,2,6
1,44,3,7.004,19,1,2,4,2,12,0,4,2,3
5,44,3,7.004,19,1,2,4,2,0,0,5,3,4
18,44,3,7.004,19,1,2,4,2,0,0,17,6,14
16,44,3,7.004,19,1,2,4,2,0,0,8,4,7
3,44,3,7.004,19,1,2,4,2,0,0,9,4,5
0,44,3,7.004,19,1,2,4,2,0,0,16,8,13
0,44,3,7.004,19,1,2,4,2,0,0,14,8,9
9,44,3,7.004,19,1,2,4,2,0,0,19,9,11
10,44,3,7.004,19,1,2,4,2,0,0,12,9,8
6,44,3,7.004,19,1,2,4,2,0,0,18,10,10
7,44,3,7.004,19,1,2,4,2,0,0,13,5,15
17,44,3,7.004,19,1,2,4,2,0,0,7,5,12
2,44,3,7.004,19,1,2,4,2,1,0,2,1,2
14,44,3,7.004,19,1,2,4,2,31,1,1,1,1
2,72,0,4.259,14,1,2,3,4,0,0,2,2,3
3,72,0,4.259,14,1,2,3,3,0,0,5,2,8
4,72,0,4.259,14,1,2,3,3,14,0,6,3,4
6,72,0,4.259,14,1,2,3,3,0,0,4,3,2
18,72,0,4.259,14,1,2,3,4,0,0,11,7,15
8,72,0,4.259,14,1,2,3,4,0,0,15,7,13
14,72,0,4.259,14,1,2,3,4,0,0,17,6,16
12,72,0,4.259,14,1,2,3,3,0,0,8,4,9
13,72,0,4.259,14,1,2,3,3,0,0,9,4,6
11,72,0,4.259,14,1,2,3,4,0,0,14,8,11
10,72,0,4.259,14,1,2,3,4,0,0,18,9,10
19,72,0,4.259,14,1,2,3,4,0,0,12,9,14
15,72,0,4.259,14,1,2,3,4,0,0,19,10,12
17,72,0,4.259,14,1,2,3,5,0,0,13,5,17
7,72,0,4.259,14,1,2,3,3,0,0,7,5,7
5,72,0,4.259,14,1,2,3,4,0,0,3,1,5
1,72,0,4.259,14,1,2,3,4,58,1,1,1,1
1,53,3,5.793,11,1,2,4,3,19,0,2,2,2
18,53,3,5.793,11,1,2,4,2,0,0,5,2,4
19,53,3,5.793,11,1,2,4,1,0,0,6,3,5
2,53,3,5.793,11,1,2,4,2,0,0,4,3,3
17,53,3,5.793,11,1,2,4,1,0,0,15,7,12
9,53,3,5.793,11,1,2,4,1,0,0,17,6,10
14,53,3,5.793,11,1,2,4,1,0,0,8,4,11
5,53,3,5.793,11,1,2,4,1,0,0,11,8,8
8,53,3,5.793,11,1,2,4,1,0,0,20,10,9
3,53,3,5.793,11,1,2,4,2,0,0,7,5,7
13,53,3,5.793,11,1,2,4,2,0,0,3,1,6
7,53,3,5.793,11,1,2,4,2,34,1,1,1,1
1,59,2,5.063,23,0,2,3,1,0,0,2,2,2
4,59,2,5.063,23,0,2,3,1,0,0,5,2,3
3,59,2,5.063,23,0,2,3,1,0,0,6,3,9
9,59,2,5.063,23,0,2,3,2,0,0,14,8,12
15,59,2,5.063,23,0,2,3,1,0,0,10,6,11
7,59,2,5.063,23,0,2,3,1,0,0,13,9,10
11,59,2,5.063,23,0,2,3,1,0,0,15,7,6
13,59,2,5.063,23,0,2,3,1,0,0,12,7,8
16,59,2,5.063,23,0,2,3,1,0,0,11,4,5
6,59,2,5.063,23,0,2,3,1,0,0,7,4,4
2,59,2,5.063,23,0,2,3,1,59,0,3,1,1
8,59,2,5.063,23,0,2,3,2,0,1,1,1,7
4,28,4,5.807,18,1,1,3,2,0,0,2,1,2
1,28,4,5.807,18,1,1,3,2,27,1,1,1,1
11,28,4,5.807,18,1,1,3,2,0,0,12,5,11
10,28,4,5.807,18,1,1,3,2,0,0,7,5,10
17,28,4,5.807,18,1,1,3,4,0,0,13,9,18
13,28,4,5.807,18,1,1,3,3,0,0,17,9,13
18,28,4,5.807,18,1,1,3,2,0,0,14,8,14
15,28,4,5.807,18,1,1,3,2,0,0,16,8,17
2,28,4,5.807,18,1,1,3,2,0,0,3,2,3
20,28,4,5.807,18,1,1,3,2,0,0,20,10,9
6,28,4,5.807,18,1,1,3,2,0,0,6,3,5
8,28,4,5.807,18,1,1,3,2,0,0,4,3,8
5,28,4,5.807,18,1,1,3,2,0,0,8,4,4
7,28,4,5.807,18,1,1,3,3,1,0,9,4,7
9,28,4,5.807,18,1,1,3,2,0,0,11,7,6
19,28,4,5.807,18,1,1,3,3,0,0,15,7,12
12,28,4,5.807,18,1,1,3,2,0,0,10,6,15
14,28,4,5.807,18,1,1,3,3,0,0,18,6,16
8,56,2,5.513,20,0,2,3,2,0,0,19,10,13
17,56,2,5.513,20,0,2,3,2,0,0,20,10,17
15,56,2,5.513,20,0,2,3,2,0,0,12,5,16
6,56,2,5.513,20,0,2,3,2,0,0,7,5,6
14,56,2,5.513,20,0,2,3,2,0,0,9,4,7
0,56,2,5.513,20,0,2,3,2,0,0,8,4,11
12,56,2,5.513,20,0,2,3,2,1,0,2,2,3
10,56,2,5.513,20,0,2,3,2,2,0,11,7,8
19,56,2,5.513,20,0,2,3,2,0,0,17,9,10
11,56,2,5.513,20,0,2,3,2,0,0,14,9,14
